ID;COUNTRY;STATE;NATIVE-NAME;ALTERNATIVE-NAME: EN
1;ARG;BA;Buenos Aires;
2;ARG;KA;Catamarca;
3;ARG;HA;Chaco;
4;ARG;UA;Chubut;
5;ARG;XA;Córdoba;
6;ARG;WA;Corrientes;
7;ARG;EA;Entre Ríos;
8;ARG;PA;Formosa;
9;ARG;YA;Jujuy;
10;ARG;LA;La Pampa;
11;ARG;FA;La Rioja;
12;ARG;MA;Mendoza;
13;ARG;NA;Misiones;
14;ARG;QA;Neuquén;
15;ARG;RA;Río Negro;
16;ARG;AA;Salta;
17;ARG;JA;San Juan;
18;ARG;DA;San Luis;
19;ARG;ZA;Santa Cruz;
20;ARG;SA;Santa Fe;
21;ARG;GA;Santiago del Estero;
22;ARG;VA;Tierra del Fuego;
23;ARG;TA;Tucumán;
