ID;COUNTRY;STATE;NATIVE-NAME;ALTERNATIVE-NAME: EN
1;BRA; AC;Acre;
2;BRA; AL;Alagoas;
3;BRA; AP;Amapá;
4;BRA; AM;Amazonas;
5;BRA; BA;Bahia;
6;BRA; CE;Ceará;
7;BRA; DF;Distrito Federal;
8;BRA; ES;Espírito Santo;
9;BRA; GO;Goiás;
10;BRA; MA;Maranhão;
11;BRA; MT;Mato Grosso;
12;BRA; MS;Mato Grosso do Sul;
13;BRA; MG;Minas Gerais;
14;BRA; PA;Pará;
15;BRA; PB;Paraíba;
16;BRA; PR;Paraná;
17;BRA; PE;Pernambuco;
18;BRA; PI;Piauí;
19;BRA; RJ;Rio de Janeiro;
20;BRA; RN;Rio Grande do Norte;
21;BRA; RS;Rio Grande do Sul;
22;BRA; RO;Rondônia;
23;BRA; RR;Roraima;
24;BRA; SC;Santa Catarina;
25;BRA; SP;São Paulo;
26;BRA; SE;Sergipe;
27;BRA; TO;Tocantins;
