ID;CONTRY;STATE-NAME;STATE-CODE;MONTH;DAY;HOLIDAY-NAME;ALTERNATIVE-HOLIDAY-NAME;HOLIDAY-TYPE;CITY-NAME;CITY-CODE;OPTIONAL;BUSSINESS-RULE;COMMENTS
1;ESP;;;Jan;1;Día de Año Nuevo;New Year's Day;Public Holiday;;;;;
2;ESP;;;Jan;6;Epifanía;Epiphany;Public Holiday;;;;;
3;ESP;Comunidad Valenciana;VC;Jan;22;San Vicente el mártir;Saint Vincent the Martyr;Regional Holiday;;;;;Valencia only
4;ESP;Andalucía;AN;Feb;28;Día de Andalucía;Andalucía Day;Regional Holiday;;;;;Andalucía
5;ESP;Islas Baleares;IB;Mar;1;Día Balear;Balearic Day;Regional Holiday;;;;;Balearic Islands
6;ESP;País Vasco;PV;Mar;19;Dia de San Jose;St. Joseph's Day;Regional Holiday;;;;;Several regions
7;ESP;Castilla-La Mancha;CM;Mar;19;Dia de San Jose;St. Joseph's Day;Regional Holiday;;;;;Several regions
8;ESP;Galicia;GA;Mar;19;Dia de San Jose;St. Joseph's Day;Regional Holiday;;;;;Several regions
9;ESP;Región de Murcia;MC;Mar;19;Dia de San Jose;St. Joseph's Day;Regional Holiday;;;;;Several regions
10;ESP;Comunidad Foral de Navarra;NC;Mar;19;Dia de San Jose;St. Joseph's Day;Regional Holiday;;;;;Several regions
11;ESP;Comunidad Valenciana;VC;Mar;19;Dia de San Jose;St. Joseph's Day;Regional Holiday;;;;;Several regions
12;ESP;;;Mar;19;Dia del padre;Father's Day;Not A Public Holiday;;;;;Celebrated on Saint Joseph's Day. Not a public holiday
13;ESP;Andalucía;AN;Apr;9;Jueves Santo;Holy Thursday;Regional Holiday;;;;Holy Thursday;Most communities
14;ESP;Aragón;AR;Apr;9;Jueves Santo;Holy Thursday;Regional Holiday;;;;Holy Thursday;Most communities
15;ESP;Principado de Asturias;AS;Apr;9;Jueves Santo;Holy Thursday;Regional Holiday;;;;Holy Thursday;Most communities
16;ESP;Islas Baleares;IB;Apr;9;Jueves Santo;Holy Thursday;Regional Holiday;;;;Holy Thursday;Most communities
17;ESP;País Vasco;PV;Apr;9;Jueves Santo;Holy Thursday;Regional Holiday;;;;Holy Thursday;Most communities
18;ESP;Islas Canarias;CN;Apr;9;Jueves Santo;Holy Thursday;Regional Holiday;;;;Holy Thursday;Most communities
19;ESP;Cantabria;CB;Apr;9;Jueves Santo;Holy Thursday;Regional Holiday;;;;Holy Thursday;Most communities
20;ESP;Castilla y León;CL;Apr;9;Jueves Santo;Holy Thursday;Regional Holiday;;;;Holy Thursday;Most communities
21;ESP;Castilla-La Mancha;CM;Apr;9;Jueves Santo;Holy Thursday;Regional Holiday;;;;Holy Thursday;Most communities
