ID;COUNTRY;STATE;NATIVE-NAME;ALTERNATIVE-NAME: EN
1;ESP;AR;Aragón;
2;ESP;MC;Región de Murcia;
3;ESP;EX;Extremadura;
4;ESP;CB;Cantabria;
5;ESP;CM;Castilla-La Mancha;
6;ESP;CL;Castilla y León;
7;ESP;CT;Cataluña;
8;ESP;MD;Comunidad de Madrid;
9;ESP;NC;Comunidad Foral de Navarra;
10;ESP;VC;Comunidad Valenciana;
11;ESP;AN;Andalucía;
12;ESP;GA;Galicia;
13;ESP;IB;Islas Baleares;
14;ESP;CN;Islas Canarias;
15;ESP;RI;La Rioja;
16;ESP;PV;País Vasco;
17;ESP;AS;Principado de Asturias;
18;ESP;ML;Melilla;
19;ESP;CE;Ceuta;
