ID;COUNTRY;STATE;NATIVE-NAME;ALTERNATIVE-NAME: EN
1;PER;AMA;Amazonas;
2;PER;ANC;Áncash;
3;PER;APU;Apurímac;
4;PER;ARE;Arequipa;
5;PER;AYA;Ayacucho;
6;PER;CAJ;Cajamarca;
7;PER;CAL;Callao;
8;PER;CUS;Cusco;
9;PER;HUV;Huancavelica;
10;PER;HUC;Huánuco;
11;PER;ICA;Ica;
12;PER;JUN;Junín;
13;PER;LAL;La Libertad;
14;PER;LAM;Lambayeque;
15;PER;LIM;Lima;
16;PER;LOR;Loreto;
17;PER;MDD;Madre de Dios;
18;PER;MOQ;Moquegua;
19;PER;PAS;Pasco;
20;PER;PIU;Piura;
21;PER;PUN;Puno;
22;PER;SAM;San Martín;
23;PER;TAC;Tacna;
24;PER;TUM;Tumbes;
25;PER;UCA;Ucayali;
