ID;CONTRY;STATE-NAME;STATE-CODE;MONTH;DAY;HOLIDAY-NAME;ALTERNATIVE-HOLIDAY-NAME;HOLIDAY-TYPE;CITY-NAME;CITY-CODE;OPTIONAL;BUSSINESS-RULE;COMMENTS
1;PRT;;;January;1;Dia de Ano Novo;New Year's Day;National Holiday;;;;;
2;PRT;Leiria;LE;January;11;Dia da Tomada de Óbidos aos Mouros;Day of the Taking of Óbidos to the Mouros;Regional Holiday;Óbidos;;;;
3;PRT;Lisboa;LI;January;13;Restauração do Município;Restoration of the Municipality;Regional Holiday;Cadaval;;;;
4;PRT;Vila Real;VR;January;13;Restauração do Município;Restoration of the Municipality;Regional Holiday;Santa Marta de Penaguião;;;;
5;PRT;Évora;EV;January;13;Restauração do Município;Restoration of the Municipality;Regional Holiday;Viana do Alentejo;;;;
6;PRT;Coimbra;CO;January;13;Restauração do Município;Restoration of the Municipality;Regional Holiday;Vila Nova de Poiares;;;;
7;PRT;Portalegre;PA;January;14;Comemoração da Vitória na Batalha das Linhas de Elvas entre Portugueses e Espanhóis;Celebration of victory in the Battle of the Lines of Elvas between Portuguese and Spanish;Regional Holiday;Elvas;;;;
8;PRT;Madeira;MA;January;15;Festa de Santo Amaro;Feast of Santo Amaro;Regional Holiday;Santa Cruz;;;;
9;PRT;Aveiro;AV;January;20;Dia de São Sebastião;St. Sebastian's Day;Regional Holiday;Santa Maria da Feira;;;;
10;PRT;Madeira;MA;January;22;Festa de São Vicente;Feast of Saint Vincent;Regional Holiday;São Vicente;;;;
11;PRT;Faro;FA;January;22;Festa de São Vicente;Feast of Saint Vincent;Regional Holiday;Vila do Bispo;;;;
12;PRT;Évora;EV;February;2;Festa de Nossa Senhora das Candeias;Feast of Our Lady of Candeias;Regional Holiday;Mourão;;;;
13;PRT;Guarda;GU;February;10;Feriado Municipal;Municipal Holiday;Regional Holiday;Aguiar da Beira;;;;
14;PRT;Viana do Castelo;VC;February;18;Festa de São Teotónio;Feast of São Teotónio;Regional Holiday;Valença;;;;
15;PRT;;;February;25;Carnaval;Carnival Tuesday;Not A Public Holiday;;;;;Holiday for Banks and Civil Servants
16;PRT;Santarém;SA;March;1;Aniversário da Construção do Castelo de Tomar;Anniversary of the Construction of Tomar Castle;Regional Holiday;Tomar;;;;
