;;;;;;When federal holidays fall on Saturday, Federal Reserve Banks and Branches will be open the preceding Friday.;;;;;;;
;;;;;;When federal holidays fall on Sunday, Federal Reserve Banks and Branches will be closed the following Monday.;;;;;;;
ID;CONTRY;STATE-NAME;STATE-CODE;MONTH;DAY;HOLIDAY-NAME;ALTERNATIVE-HOLIDAY-NAME;HOLIDAY-TYPE;CITY-NAME;CITY-CODE;OPTIONAL;BUSSINESS-RULE;COMMENTS
1;USA;;;Jan;1;New Year's Day;New Year's Day;Federal Holiday;;;;;
2;USA;;;Jan;;Martin Luther King Jr. Day;Martin Luther King Jr. Day;Federal Holiday;;;;3,Monday,January;3rd Monday in January
3;USA;;;Feb;;President's Day;President's Day;Federal Holiday;;;;3,Monday,February;3rd Monday in February
4;USA;Alaska;AK;Mar;;Seward's Day;Seward's Day;Government Holiday;;;;4,Monday,March;Last Monday in March
5;USA;;;May;;Mother's Day;Mother's Day;Not A Public Holiday;;;;2,Sunday,May;2nd Sunday in May. Not a public holiday
6;USA;;;May;;Memorial Day;Memorial Day;Federal Holiday;;;;4,Monday,May;Last Monday in May
7;USA;;;Jun;;Father's Day;Father's Day;Not A Public Holiday;;;;3,Sunday,June;3rd Sunday in June. Not a public holiday
8;USA;Alaska;AK;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
9;USA;Alaska;AK;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
10;USA;;;Jul;4;Independence Day;Independence Day;Federal Holiday;;;;;
11;USA;;;Sep;;Labor Day;Labor Day;Federal Holiday;;;;1,Monday,September;1st Monday in September
12;USA;Alaska;AK;Oct;;Alaska Day;Alaska Day;Government Holiday;;;;18,October,nearest;18 October or nearest weekday
13;USA;;;Nov;11;Veterans Day;Veterans Day;Federal Holiday;;;;;
14;USA;;;Nov;;Thanksgiving;Thanksgiving;Federal Holiday;;;;4,Thursday,November;4th Thursday in November
15;USA;;;Dec;25;Christmas Day;Christmas Day;Federal Holiday;;;;;
16;USA;Alabama;AL;Jan;;Robert E. Lee's Birthday;Robert E. Lee's Birthday;Government Holiday;;;;3,Monday,January;Alabama, Mississippi. Third Monday in January
17;USA;Alabama;AL;Feb;;George Washington/Thomas Jefferson Birthday;George Washington/Thomas Jefferson Birthday;Federal Holiday;;;;3,Monday,February;3rd Monday in February
18;USA;Alabama;AL;Feb;25;Mardi Gras;Mardi Gras;Government Holiday;;;;;Alabama, Louisiana only.
19;USA;Alabama;AL;Apr;;Confederate Memorial Day;Confederate Memorial Day;Government Holiday;;;;4,Monday,April;Alabama, Mississippi. Last Monday in April
20;USA;Alabama;AL;Jun;;Jefferson Davis' Birthday;Jefferson Davis' Birthday;Government Holiday;;;;1,Monday,June;First Monday in June
21;USA;Alabama;AL;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
22;USA;Alabama;AL;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
23;USA;;;Oct;;Columbus Day;Columbus Day;Federal Holiday;;;;2,Monday,October;2nd Monday in October
24;USA;Arkansas;AR;Feb;;George Washington's Birthday & Daisy Gatson Bates Day;George Washington's Birthday & Daisy Gatson Bates Day;Federal Holiday;;;;3,Monday,February;3rd Monday in February
25;USA;Arkansas;AR;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
26;USA;Arkansas;AR;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
27;USA;Arkansas;AR;Dec;24;Christmas Eve;Christmas Eve;Government Holiday;;;;;AR, KS, KY, MI, NC, OK, SC, TX, VA, WI
28;USA;Arizona;AZ;Jan;;Civil Rights Day;Civil Rights Day;Government Holiday;;;;3,Monday,January;Arizona, New Hampshire. 3rd Monday in January
29;USA;Arizona;AZ;Feb;;Lincoln/Washington/Presidents' Day;Lincoln/Washington/Presidents' Day;Federal Holiday;;;;3,Monday,February;3rd Monday in February
30;USA;Arizona;AZ;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
31;USA;Arizona;AZ;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
32;USA;California;CA;Mar;31;Cesar Chavez Day;Cesar Chavez Day;Government Holiday;;;;;State holiday in California
33;USA;California;CA;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
34;USA;California;CA;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
35;USA;California;CA;Nov;;Day after Thanksgiving;Day after Thanksgiving;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
36;USA;Colorado;CO;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
37;USA;Colorado;CO;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
38;USA;Colorado;CO;Oct;;Cabrini Day;Cabrini Day;Regional Holiday;;;;1,Monday,October;First Monday in October
39;USA;Connecticut;CT;Feb;12;Lincoln's Birthday;Lincoln's Birthday;Government Holiday;;;;;Connecticut, Illinois, Missouri, New York.
40;USA;Connecticut;CT;Apr;;Good Friday;Good Friday;Government Holiday;;;;GoodFriday;11 states
41;USA;Connecticut;CT;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
42;USA;Connecticut;CT;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
43;USA;Columbia;DC;Apr;16;Emancipation Day;Emancipation Day;Government Holiday;;;;;Washington DC
44;USA;Columbia;DC;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
45;USA;Columbia;DC;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
46;USA;Delaware;DE;Apr;;Good Friday;Good Friday;Government Holiday;;;;GoodFriday;11 states
47;USA;Delaware;DE;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
48;USA;Delaware;DE;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
49;USA;Delaware;DE;Nov;;Day after Thanksgiving;Day after Thanksgiving;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
50;USA;Florida;FL;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
51;USA;Florida;FL;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
52;USA;Florida;FL;Nov;;Friday after Thanksgiving;Friday after Thanksgiving;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
53;USA;Georgia;GA;Apr;10;State Holiday;State Holiday;Government Holiday;;;;;11 states
54;USA;Georgia;GA;Jul;3;Independence Day (in lieu);Independence Day (in lieu);Federal Holiday;;;;;
55;USA;Georgia;GA;Jul;3;Independence Day Holiday (in lieu);Independence Day Holiday (in lieu);Regional Holiday;;;;;
56;USA;Georgia;GA;Nov;;State Holiday;State Holiday;Regional Holiday;;;;4,Friday,November;Day after 4th Thursday in November
57;USA;Georgia;GA;Dec;24;Washington's Birthday Holiday;Washington's Birthday Holiday;Government Holiday;;;;;Georgia, Indiana
58;USA;Hawaii;HI;Mar;;Prince Kuhio Day;Prince Kuhio Day;Government Holiday;;;;26,March,nearest;26 March or nearest weekday
59;USA;Hawaii;HI;Apr;;Good Friday;Good Friday;Government Holiday;;;;GoodFriday;11 states
